wavelength,fluorescence
451.2786762403986, 1.5802712844438247
451.97102679489353, 1.7791409554107531
452.66344048261726, 2.0224059129249383
453.0670512148368, 1.9552826639814498
457.79984423991016, 4.531396188426868
458.4347409255745, 4.883875318577793
459.1276438958221, 5.471203746833453
459.8206257826057, 6.114026283273262
460.46732312096793, 6.653690386390281
465.2964185211519, 12.061362055310525
465.9169590453667, 12.64172264127643
466.5471865026452, 13.397634008790732
467.21388200867773, 13.990041792278902
467.8605967086778, 14.541914599196446
468.310695593982, 14.721124582690635
472.9866424075528, 17.878152199337705
473.67875621243934, 17.9105395457523
474.37082266740424, 17.909630427256445
475.0628891223692, 17.90872130876059
475.6396348431341, 17.924611942469284
480.5393494948107, 16.214503231871646
481.1272966287094, 15.99619357706851
481.9112029917237, 15.688835765596934
482.52805409613364, 15.518213163894785
483.0755612402743, 15.251121725801852
488.0914568163944, 14.129099042206434
488.78357062128094, 14.161486388621057
489.4755897263242, 14.127280805214724
490.1676088313675, 14.09307522180842
490.68662710597675, 14.070195739662864
495.70479547833645, 14.546403371769685
496.4549103067038, 14.809940409076745
497.08944923740455, 14.910846248793092
497.823103579514, 15.186560784047543
498.27216347225146, 15.21451076637527
503.2065303749287, 17.594279949008893
503.8993623202938, 18.13166367989885
504.5923442070774, 18.77448621633863
505.28561019339105, 19.617087542241194
505.7763684564236, 19.99935292977696
509.1162306930678, 26.529409035694073
509.5066847234442, 27.349285555861883
509.73888216288094, 28.409844884482737
509.50503273728856, 26.18760889120793
509.85277056195076, 27.38582706873666
510.1234858473813, 28.495355686337064
511.6780153420539, 35.253517600607054
512.2294525296923, 35.906615930954445
512.1124035233516, 34.70809471392708
513.620099067027, 44.17201412335655
513.8642559248838, 45.4494728443664
513.7278313306003, 43.243202192454476
514.1664115582956, 46.13720415094835
514.0293177517863, 44.36156946209783
514.4986028253466, 58.03250702731174
514.949279379695, 52.53465837959075
514.8568996825386, 58.544802875710005
515.1379372508908, 53.39457083685177
515.2810947170648, 54.518392817470215
515.3669056887255, 52.184496238939644
515.6974239252111, 54.79229001763623
516.2222346735699, 61.546356077591966
516.4774034013892, 62.53825738847529
516.5776770069135, 63.52750818602965
516.4472046735757, 59.327031999277125
516.6592081605903, 60.60681999206953
516.590948513527, 61.27284020212838
516.9981578397926, 63.736248286380075
517.3791869639192, 69.91074005603869
517.5277614524438, 71.15697851532921
517.6280200262469, 72.13565900656279
517.7563247853932, 69.66203416207203
517.931756245139, 71.3599265928817
517.9908015974476, 72.32544831541047
518.5455016251419, 78.9598094114806
518.8091739684372, 80.03251930393756
518.9094171347261, 81.00036523119233
518.9805096599596, 78.85026751999214
519.2720904775344, 81.11404833453038
519.8006260863971, 87.78375829938797
520.0904036611221, 88.7794987419194
520.149563442408, 89.8254869213151
519.972395818868, 86.90672411045513
520.2041263354661, 87.63894329898672
520.8970829689582, 96.37504172497134
521.1064453825647, 97.60007889812763
521.4222098344131, 98.33028503856127
521.2543475978582, 96.16147463832152
522.1783339691078, 105.13700457216288
522.4220913658073, 106.21549184378834
522.5222838000374, 107.14766298721048
522.5936401319772, 105.18307415194002
522.8845107007271, 106.9474079928213
523.672117460119, 113.29768591618434
523.8009887272566, 114.11922734978796
524.1135884005316, 115.07014605584274
524.3638981244853, 115.99260670739454
524.2210095894682, 114.00451607672247
526.585285877735, 121.91266513656264
527.2318569496395, 122.36353866658513
527.9180283393579, 122.72334966904982
528.57014724375, 122.56932900210171
529.0771583673919, 122.21405496390832
529.4810176867002, 122.32173815574475
531.4829047316887, 116.41135318028606
531.8425266351012, 115.66672981545199
532.0903501123748, 114.84086180154644
532.3527378242819, 113.9568378622735
532.525002100379, 113.42756675129439
534.0409910135795, 107.65576282083684
534.1110192929547, 106.68848599454525
534.4175311191593, 105.93336207057659
534.4930595053074, 104.97136318221922
534.9159048279253, 104.9116138944087
535.9933601869247, 98.78918695072923
536.1172039070234, 98.00655587893826
536.4484504303991, 97.26408385403684
536.4225477684937, 96.43011915384486
536.4828400020725, 98.27244778568249
536.7682890047926, 96.22433639431574
538.0138405315075, 90.02122202746824
538.2434639765918, 89.27174852748419
538.5120953017798, 88.43303665943218
538.6243917288407, 87.44826327046988
539.0627478335736, 87.48098396033298
539.977090604112, 81.56409986991288
540.2177828825495, 80.48719597966769
540.5369038714817, 79.03197466550861
540.3806855530244, 81.48587779933254
540.6672472789033, 80.22023333336168
540.9917836419528, 78.62157371170306
542.1478116864286, 72.71229988107261
542.477832523261, 71.88040450774261
542.7550000246829, 70.96105626424765
542.9021280687572, 70.13677394660742
543.2866133784534, 70.13904358618561
543.3628783189384, 69.69498970754655
544.7883003605548, 63.966114568919764
545.1184240143599, 63.20652009082389
545.3709174716054, 62.31717113426606
545.6349832497043, 61.454444197661644
545.8882390406885, 61.10116832616225
546.2343669680143, 61.16730669673527
547.667870062927, 55.32743251890102
548.0320225270976, 54.55003519178406
548.3768667454362, 53.713469402562296
548.7485720482216, 52.8398721866096
549.1056093974976, 52.46648206838955
551.8075095671602, 46.349690396719765
552.2962223135771, 45.29354850012352
552.2109687796304, 46.17601846006278
552.8772958171817, 44.29721902456666
552.7286928230477, 45.24303560369792
553.4765564256954, 43.923510714873075
553.3605617442771, 43.466390783185346
557.8395297270858, 37.88444867459836
558.4437742530679, 37.53927369826732
558.6405740560308, 36.882597927605104
559.2333527984831, 36.585717977369185
559.5785100524149, 35.9692788172777
560.1713429090635, 35.71045196979658
560.3271399346281, 35.18860171892051
560.7311136829137, 35.376751367623896
565.3266035096019, 30.622629833394427
