wavelength,fluorescence
450.1558144587976, 4.653098687674174
450.82227034552955, 5.077006179039699
451.48920547086254, 5.837914254650514
452.0741023132423, 6.669895423578794
452.555932485491, 7.53312237535593
453.0503945646177, 8.266846239175777
453.52698941386166, 9.053498055869909
453.9895507985464, 9.885303599634256
453.8845949621975, 9.079665516575403
454.3194566427119, 10.710624098128221
454.6841173293749, 11.642447828410866
455.042921356839, 12.511385812072348
455.36126145652906, 13.314708799628193
455.67966600472363, 14.163351975534397
456.01263065382824, 15.111865606203366
456.3166171508777, 15.96052772207824
456.5484897172408, 16.792636305341205
456.90738555094185, 17.72613243485685
456.6625201660756, 15.868507884326505
457.1277686588145, 18.58988781175964
456.89444008236035, 16.733912932499948
457.4441382365123, 19.850956553482973
457.8119489843271, 21.15448646658993
457.5319120776527, 18.89734979305888
458.17116232555844, 22.311253891366277
457.8796972522365, 20.128864435498087
458.40297307396827, 23.09989208988503
458.2274350768987, 21.327082613026846
458.7192199723236, 24.274692717976677
459.0526021616465, 25.701162312041617
458.7494206132652, 23.390781598603667
459.4005956758856, 27.079181400086895
459.15511474203777, 24.788702805720533
459.76876972673574, 28.228537825569305
459.50299461646495, 26.086810377980697
460.02625860071623, 29.04951391614003
460.1264916205934, 30.010224886628265
459.79301288662504, 27.251807850473654
460.34049162081266, 31.020255535516313
460.7130390826087, 32.70517580960683
460.6528495840114, 31.67245714443827
460.48886733532265, 29.914615924814854
461.00775934347416, 34.309075871887956
461.01265216871224, 33.24358057698929
461.39442932594466, 35.84760740636278
461.3494995113929, 34.89464582927526
461.6519589734688, 36.69725545282866
461.7522850021207, 37.72337019367673
461.9752024206018, 38.695547361067
462.23280046245725, 39.59329030129241
462.3496350788747, 40.64105252441962
462.114674245399, 37.63727450755201
462.6631662679101, 42.118266541678594
462.6195822433539, 41.210438489028064
463.0203940690932, 43.68125420546815
462.97549582115585, 42.75049027165427
462.6956577841524, 40.63319875074714
463.27807365803596, 44.63634105748382
463.3782136691384, 45.53164825761223
463.6265335690034, 46.342330324897134
463.39226983159654, 43.82875026365578
463.8584653227686, 47.216059489298175
463.94629942744564, 48.148246866979164
463.74057585531864, 45.42652602011009
464.2888216582371, 49.73437643670228
464.25278836785475, 48.72886865233107
464.64868106284393, 51.34545562714585
464.5838069351792, 50.33665607622092
464.9038687306318, 52.35067552399336
465.0041964503523, 53.377979424302524
465.25248252884467, 54.16487830236568
465.3528136307024, 55.19456052159704
465.57580620778936, 56.21958922059119
465.3661933657083, 53.01599874320539
465.8334897425589, 57.17745077801605
465.92141854707927, 58.17623108551797
465.7150202385686, 54.98003561367479
466.2640141702493, 59.813970175852305
466.21082126825786, 58.908374514174895
465.94746100399163, 56.21170177586332
466.61531012629723, 61.302166160880844
466.5684710098539, 60.317457676157474
466.29642992661695, 58.27562804106411
466.9046975424506, 62.43319527785779
466.97940519662336, 63.46898909427901
467.2275898109979, 64.18453840467687
466.9931366739044, 61.53777248379366
467.52940294664324, 65.53265128220244
467.8921395046716, 66.9548445757062
467.63188711708153, 64.60021389693509
468.24589985674316, 68.29162220721842
467.97976699150865, 65.89832146919522
468.5962724414905, 69.54015167572857
468.32774156577915, 67.26302197127629
468.8513961868842, 70.50042134494696
468.675526740363, 68.49453661371551
469.1604267658659, 71.51648437385434
468.96535561083647, 69.5263482265666
469.50802780186547, 72.61851276386396
469.2552318312316, 70.59145630432816
469.8812714509945, 73.72790669724276
469.60287495605047, 71.72308155203598
470.2412676442639, 74.53394967474279
469.8929405761322, 72.92137548943938
470.5885214475047, 75.39180398874237
470.9359015172032, 76.33844887583649
470.93473355246897, 75.51713607471174
471.38698212421644, 77.20800556514098
471.28180847822796, 76.24920374349402
471.8228918163302, 78.22408690268473
471.744606612521, 77.24749161181067
472.3814346488787, 78.9580965495873
472.98534674151466, 79.64321169168963
473.60543959374286, 79.90876933668387
474.38978157603646, 79.90773900238858
475.01625471063767, 79.74413302774397
475.7533456799977, 79.45190423366545
476.36110559944916, 79.15597755418999
476.7062036659788, 78.49791781296041
477.2827102696394, 78.34566129887125
477.3394102224951, 77.66189812616844
477.8961085125399, 77.09882548444784
478.37558434146166, 76.30647820873249
478.8358966048676, 75.55670166924983
479.2961496808715, 74.7653045486291
479.7564145943558, 73.98223154423597
480.18451970410456, 73.11503456458288
480.64477146483284, 72.32271254215908
480.8322606197084, 71.55611761113765
481.3380677024853, 70.9335216083756
481.4252033958179, 71.37458612862727
481.9232824828491, 70.14565994857206
482.3962345447868, 69.27192973195054
482.88214996305413, 68.50177168174497
483.43842736490643, 67.6427304630425
484.0140603625124, 66.8761541713553
484.57045876972006, 66.1022039185351
485.0691797112449, 65.32462981837729
485.6518898481517, 64.61891969871331
486.2758646560351, 64.13811113006297
486.4726644589981, 63.48143535940075
487.0820038365506, 63.24280257707966
487.2789118679059, 62.66223301192704
487.8718426186385, 62.47224528436004
488.303762027632, 62.03419853244877
488.96668855164273, 61.81967497738145
489.67760027542784, 61.55236888631036
490.20597410539153, 61.3491209259207
490.9269595250095, 61.406442741080824
491.6447455965118, 61.05739978039621
492.3104768859578, 60.97177046025311
492.9764922749337, 61.085919929572796
493.6952253448692, 61.40280626709743
494.3873391497558, 61.43519361351204
495.1255244284164, 61.42090530115229
495.7875452058196, 61.6755108231761
496.4065712977926, 61.92828938434383
497.15663088458473, 62.15298054592202
497.8225587479479, 62.20558200434661
498.5412530770384, 62.495225779671784
499.27447337819933, 62.46572271991364
499.9254333368899, 62.52670400759055
500.5741982884978, 62.49255524409023
501.30951889689806, 62.49158930568839
